
 USER-WORLD STATS: Sat Jan 10 09:42:08 2026
 ------------------------------------------
   Start Group ID   : 0
   No. of levels    : 12
   Unit             : KB
   Inclusion filter : (all)
   Exclusion filter : (none)
   Selected columns : (all)

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                type                 name   schedGrp parSchedGroup   worldGrp        min        max   minLimit     shares  totalResv pinnedResv memSizeLimit    memSize  memBStore swapBStore     mapped    touched  swappable        cow   pageable pageableUnacct     pinned prealloced        shm   allocTgt   consumed    swapTgt    swapped useReliableMem swapScope
                  uw           sh.2098605       3936           827    2098605          0         -1         -1         -3        804          0           -4        804        804          0        172        132         48        124          0              0          0          0          0        188        172          0          0              n         0
                  uw vmware-usbarbitrator.2098615 4014         827    2098615          0         -1         -1         -3       3608          0           -4       3608       3608          0       1380         44       1380          0          0             48          0          0          0       1516       1380          0          0              n         0
                  uw    vmkdevmgr.2097780       1623           830    2097780          0         -1         -1         -3       5740          0           -4       5740       5740          0       4340       3188       1436       2904          0              0          0          0          0       4772       4340          0          0              n         0
                  uw           sh.2097659       1311           831    2097659          0         -1         -1         -3        804          0           -4        804        804          0        172        132         48        124          0              0          0          0          0        188        172          0          0              n         0
                  uw    vmkeventd.2097666       1367           831    2097666          0         -1         -1         -3       3836          0           -4       3836       3836          0       2532       2504         32       2500          0              0          0          0          0       2784       2532          0          0              n         0
                  uw       python.2102690      22924           833    2102690          0         -1         -1         -3      27532          0           -4      26256      27532          0      15200      15220       3344      11892         20           1900          0          0          0      16720      15200          0          0              n         0
                  uw        lsusb.2104161      30934           833    2104161          0         -1         -1         -3       1836          0            0          0       1836          0          0          0       1232          0          0            692          0          0          0          0          0          0          0              n         0
                  uw     memstats.2104169      30966           833    2104169          0         -1         -1         -3       1888          0            0          0       1888          0          0          0       1036          0          8           2896          0          0          0          0          0          0          0              n         0
                  uw       python.2104171      30974           833    2104171          0         -1         -1         -3       4240          0            0          0       4240          0          0          0       3380          0         48           2636          0          0          0          0          0          0          0              n         0
                  uw           sh.2097623       1191           834    2097623          0         -1         -1         -3        804          0           -4        804        804          0        172        132         48        124          0              0          0          0          0        188        172          0          0              n         0
                  uw         vobd.2097635       1279           834    2097635          0         -1         -1         -3      15444          0           -4      15444      15444          0       3276         92       3276          0          0            356          0          0          0       3600       3276          0          0              n         0
                  uw           sh.2099333       9216           835    2099333          0         -1         -1         -3        804          0           -4        804        804          0        172        132         48        124          0              0          0          0          0        188        172          0          0              n         0
                  uw         vpxa.2099343       9296           835    2099343          0         -1         -1         -3      35892          0           -4      35892      35892          0      25792       6032      25792          0          0            480          0          0          0      28368      25792          0          0              n         2
                  uw           sh.2099540      10401           776    2099540          0         -1         -1         -3       2336          0           -4       2336       2336          0        128         96         40         88          0              0          0          0          0        140        128          0          0              n         0
                  uw           sh.2098650       4281           774    2098650          0         -1         -1         -3        804          0           -4        804        804          0        172        136         44        128          0              0          0          0          0        188        172          0          0              n         0
                  uw ioFilterVPServer.2098660   4361           774    2098660          0         -1         -1         -3       9064          0           -4       9064       9064          0       5672        752       5672          0          0             52          0          0          0       6236       5672          0          0              n         0
               (all)           vm.2099653      11033             4    2099653      18348         -1         -1         -3      18348      17892      1048576      44880      15480      29400      11992       1924      10804          0          0            292       1188          0          0      13188      11992          0          0              n         1
               (all)           vm.2099800      12088             4    2099800       6616         -1         -1         -3       6616       5992      1048576      58664       4728      53936      15696       6604       9976          0          0            452       5720          0          0      17264      15696          0          0              n         1
               (all)           vm.2100898      18037             4    2100898       8112         -1         -1         -3       8112       7484      1048576      39108       1668      37440      20748       8032      13612          0          0            400       7136          0          0      22820      20748          0          0              n         1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                   33076                                      373368      31368                  473704     362168     120776     237828     101184     192580      36888         88          12480      14044          0          0     261536     237828          0          0                         
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
